RANK,CITY,STATE,STATION_ID,HAPPINESS_SCORE
1,Duluth,MN,USC00212250,3.872720913
2,Chicago,IL,USC00111497,3.364553025
3,Waterloo,IA,USW00094910,2.974262123
4,Sioux City,IA,USC00137702,2.940669285
5,Logan,UT,USC00425182,2.914648992
6,Spokane,WA,USC00457941,2.844671377
7,Anchorage,AK,USC00500275,2.826371175
8,Fargo,ND,USC00322860,2.808550335
9,Rochester,MN,USW00014925,2.761838742
10,Grand Forks,ND,USC00323621,2.728443534
11,Davenport,IA,USC00132070,2.709543137
12,Bismarck,ND,USC00320817,2.704086074
13,Rockford,IL,USW00094822,2.611009227
14,Cedar Rapids,IA,USC00131319,2.531900305
15,Decatur,IL,USC00112193,2.516990626
16,Dubuque,IA,USC00132364,2.515012515
17,Yakima,WA,USW00024243,2.388556317
18,Peoria,IL,USW00014842,2.328424692
19,Springfield,IL,USW00093822,2.21876692
20,Lynchburg,VA,USW00013733,2.217863811
21,Ogden,UT,USC00426405,2.217127961
22,Salt Lake City,UT,USW00024127,2.195685071
23,Roanoke,VA,USC00447278,2.168558854
24,Pueblo,CO,USC00056765,2.167640204
25,Des Moines,IA,USC00132209,2.099138242
26,Grand Island,NE,USW00014935,2.095235404
27,Worcester,MA,USW00094746,2.062141111
28,Kennewick,WA,USC00454154,2.007886127
29,Colorado Springs,CO,USW00093037,1.961818863
30,Green Bay,WI,USC00473268,1.950506386
31,Ames,IA,USC00130200,1.937098245
32,Los Angeles,CA,USW00023174,1.876335362
33,Eau Claire,WI,USC00472425,1.856791583
34,Janesville,WI,USC00470045,1.833160382
35,Manchester,NH,USW00014710,1.828876479
36,Battle Creek,MI,USC00200552,1.827647573
37,Provo,UT,USC00427064,1.825691849
38,Iowa City,IA,USC00134101,1.794582694
39,Detroit,MI,USW00014822,1.780357107
40,Grand Junction,CO,USC00053486,1.763333117
41,La Crosse,WI,USC00474373,1.755546665
42,Olympia,WA,USW00024227,1.746174276
43,Kansas City,MO,USW00003947,1.743198158
44,Oshkosh,WI,USC00476330,1.709706841
45,Appleton,WI,USC00470265,1.707489636
46,Youngstown,OH,USW00014852,1.681596943
47,Rapid City,SD,USC00396947,1.653190944
48,Flint,MI,USC00202851,1.642123801
49,Champaign,IL,USC00118740,1.583051414
50,Omaha,NE,USW00014942,1.551433659
